UMAP_1,UMAP_2,cluster
13.078975,19.9537,3
-5.3192506,-0.8360567,7
13.570353,-1.3570629,10
16.383644,13.14364,16
13.063211,19.805042,3
12.16036,17.710123,3
-1.2119634,18.234879,2
-3.2303584,-5.5631137,20
13.533511,8.069242,0
18.547098,-4.334493,12
-0.36731547,-6.641386,20
-1.4101423,21.844143,2
15.319904,-1.0080831,10
-1.1799108,18.888363,2
-4.447166,-4.935737,20
6.9015946,18.520355,6
0.7296142,6.6239924,13
-2.9188561,23.71064,2
9.62943,-2.6894443,10
6.9950285,0.28618556,4
-2.9297972,7.530225,5
-11.723484,9.405333,15
10.19535,-2.4777992,10
11.575067,7.971251,0
-3.2072208,7.677374,5
